Date,VOO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2013-12-31,148.14163208007812,40.12281799316406,,67.71519470214844,15.501632690429688,45.38270950317383,32.015926361083984,35.64681625366211,,29.938188552856445,49.41066360473633,60.736690521240234
2014-01-02,146.81040954589844,39.801612854003906,,66.75121307373047,15.416534423828125,44.748779296875,31.7023868560791,35.207252502441406,,29.480880737304688,49.1343879699707,60.45496368408203
2014-01-03,146.67904663085938,39.70613098144531,,66.50640106201172,15.522905349731445,44.870357513427734,31.55010414123535,35.140892028808594,,29.386268615722656,49.250247955322266,60.2913818359375
2014-01-06,146.3112335205078,39.489105224609375,,66.59822082519531,15.537092208862305,44.609832763671875,31.4963436126709,35.00819778442383,,29.43357276916504,49.045249938964844,59.91875457763672
2014-01-07,147.22206115722656,39.4196662902832,,67.1031494140625,15.544181823730469,44.88771438598633,31.783010482788086,35.198951721191406,,29.69377326965332,49.562171936035156,60.28230285644531
2014-01-08,147.28334045410156,39.65403747558594,,66.6364517211914,15.593818664550781,44.8095703125,31.783010482788086,34.93354415893555,,29.536075592041016,49.998878479003906,60.11869430541992
2014-01-09,147.37098693847656,39.49778366088867,,66.4299087524414,15.650551795959473,45.02666473388672,31.576982498168945,35.11601638793945,,29.709537506103516,50.373207092285156,60.1096076965332
2014-01-10,147.71246337890625,39.619327545166016,,66.48344421386719,15.62218952178955,45.09614181518555,31.63967514038086,35.1657829284668,,30.13530731201172,50.56928634643555,60.2913818359375
2014-01-13,145.8382568359375,39.081111907958984,,65.15989685058594,15.388172149658203,44.54905319213867,31.299278259277344,34.96672439575195,,29.827808380126953,50.159305572509766,59.082637786865234
2014-01-14,147.3533935546875,39.62800216674805,,66.00911712646484,15.515815734863281,45.01799011230469,31.827796936035156,35.14918518066406,,29.86724281311035,50.79209518432617,59.591590881347656
2014-01-15,148.18540954589844,39.87105941772461,,65.81785583496094,15.700191497802734,45.33929443359375,32.212989807128906,35.157466888427734,,29.812036514282227,50.74753189086914,59.73699188232422
2014-01-16,147.95770263671875,39.96656036376953,,65.90966033935547,15.600909233093262,45.22639846801758,32.20404052734375,35.1657829284668,,30.017045974731445,50.87229537963867,59.418907165527344
2014-01-17,147.31837463378906,39.87105941772461,,65.80253601074219,15.55127239227295,45.0006217956543,32.024871826171875,34.892066955566406,,30.0091609954834,50.818824768066406,59.15534591674805
2014-01-21,147.7825927734375,40.114131927490234,,66.34575653076172,15.56545639038086,45.04403305053711,32.186119079589844,35.024776458740234,,30.34031867980957,51.11293411254883,59.10081100463867
2014-01-22,147.87014770507812,39.72349166870117,,66.65177154541016,15.57254695892334,45.1829719543457,32.15028762817383,35.024776458740234,,30.371862411499023,51.15750503540039,59.25531005859375
2014-01-23,146.67904663085938,39.13318634033203,,65.89437103271484,15.317261695861816,44.64457702636719,32.08758544921875,34.71791076660156,,30.285118103027344,50.80101013183594,58.837257385253906
2014-01-24,143.52613830566406,38.08280944824219,,64.51724243164062,14.96978759765625,43.255126953125,31.469482421875,34.402732849121094,,29.94608497619629,49.60673904418945,57.71031951904297
2014-01-27,142.82553100585938,37.92656326293945,,64.2877197265625,14.877598762512207,43.29855728149414,31.173864364624023,34.261756896972656,,30.017045974731445,49.20566940307617,57.48311996459961
2014-01-28,143.71009826660156,38.143577575683594,,64.77738189697266,15.076151847839355,43.70669937133789,30.985748291015625,34.52715301513672,,30.12743377685547,49.86519241333008,57.88299560546875
2014-01-29,142.2124786376953,38.299835205078125,,64.41779327392578,14.898873329162598,43.23775863647461,30.743879318237305,33.92171096801758,,30.111658096313477,49.41066360473633,56.955997467041016
2014-01-30,143.80642700195312,38.482120513916016,,64.62435913085938,15.111612319946289,43.66326904296875,31.120121002197266,33.971466064453125,,30.576854705810547,50.310821533203125,57.91026306152344
2014-01-31,142.91310119628906,38.23040008544922,,63.79045867919922,14.93432903289795,43.446170806884766,31.191783905029297,33.80558776855469,,30.82916259765625,49.87411117553711,57.092315673828125
2014-02-03,139.7864990234375,37.33626174926758,,62.650508880615234,14.558483123779297,42.23908996582031,30.537843704223633,33.07573699951172,,30.584747314453125,48.89373779296875,55.59275436401367
2014-02-04,140.7323455810547,37.666133880615234,,63.29316711425781,14.700312614440918,42.50830078125,30.654294967651367,33.24991226196289,,30.40339469909668,49.37501525878906,56.27436828613281
2014-02-05,140.4958953857422,37.70952606201172,,62.6734733581543,14.686135292053223,42.490936279296875,30.681175231933594,33.2747802734375,,30.269351959228516,49.09871292114258,56.34708023071289
2014-02-06,142.37887573242188,38.27378463745117,,63.60684585571289,14.913054466247559,43.08144760131836,31.02157974243164,33.63142395019531,,30.49011993408203,49.37501525878906,57.53763198852539
2014-02-07,144.21804809570312,38.803321838378906,,64.29541015625,15.097424507141113,43.82827377319336,31.442602157592773,33.94658279418945,,30.655710220336914,50.2216911315918,58.24652099609375
2014-02-10,144.44573974609375,38.994300842285156,,63.981727600097656,15.111612319946289,43.550384521484375,31.505308151245117,34.079288482666016,,30.884361267089844,50.64058303833008,58.21017074584961
2014-02-11,146.03968811035156,39.445709228515625,,64.81562805175781,15.267621040344238,44.03668975830078,31.8904972076416,34.47739028930664,,31.17609214782715,51.32683563232422,58.637306213378906
2014-02-12,146.17108154296875,39.37625503540039,,64.66261291503906,15.267621040344238,44.28852844238281,32.015926361083984,34.32809066772461,,31.215517044067383,51.32683563232422,58.691856384277344
